Plataforma,IP,Hostname,Ciudad,Modelo,EoL Status,ios,Version
Móvil,192.168.251.40,SW_GBOIP_STA_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.41,SW_GBOIP_STA_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-44.SE2
Móvil,192.168.251.48,SW_GBOIP_TOB_1,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.49,SW_GBOIP_TOB_2,Not Info Yet,WS-C3750G-24T,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.80,SW_GBOIP_TUN_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.81,SW_GBOIP_TUN_2,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.60,SW_GBOIP_VEN_1,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.84,SW_GBOIP_VEN_3,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.85,SW_GBOIP_VEN_4,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.251.74,SW_GBOIP_VVO_1,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.251.75,SW_GBOIP_VVO_2,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE3/c3560e-universalk9-mz.122-55.SE3
Móvil,192.168.202.66,SW_GESTION_SAM,Not Info Yet,WS-C3750-48TS,No Yet Cataloged,IOS,c3750-ipservicesk9-mz.122-40.SE
Móvil,192.168.174.58,SW_ING_TEC_IN_C,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE5/c3560e-universalk9-mz.122-55.SE5
Móvil,192.168.182.32,SW_ING_TEC_IN_D,Not Info Yet,WS-C3560X-48,No Yet Cataloged,IOS,c3560e-universalk9-mz.122-55.SE5/c3560e-universalk9-mz.122-55.SE5
Móvil,192.168.104.65,SW_MED_MEG_TEC_A,Not Info Yet,WS-C3750X-48,No Yet Cataloged,IOS,c3750e-universalk9-mz.122-55.SE5/c3750e-universalk9-mz.122-55.SE5
Móvil,192.168.104.67,SW_MEG_ARIESO_BACK_END,Not Info Yet,WS-C3750X-48,No Yet Cataloged,IOS,c3750e-universalk9-mz.122-55.SE5/c3750e-universalk9-mz.122-55.SE5
Móvil,192.168.104.66,SW_MEG_ARIESO_FRONT_END,Not Info Yet,WS-C3750X-48,No Yet Cataloged,IOS,c3750e-universalk9-mz.122-55.SE5/c3750e-universalk9-mz.122-55.SE5
Móvil,192.168.172.27,SW_NEC_MED,Not Info Yet,WS-C2960+24TC-S,No Yet Cataloged,IOS,c2960-lanlitek9-mz.152-2.E6/c2960-lanlitek9-mz.152-2.E6
Móvil,172.30.36.105,SW_NGV_AGG_BKP,Not Info Yet,WS-C4948E,EoS,IOS,cat4500e-entservicesk9-mz.150-2.SG10
Móvil,172.30.36.104,SW_NGV_AGG_PPAL,Not Info Yet,WS-C4948E,EoS,IOS,cat4500e-entservicesk9-mz.150-2.SG10
Móvil,172.30.36.110,SW_NGV_CD_BK,Not Info Yet,WS-C3560X-48,EoS,IOS,c3560e-universalk9-mz.122-55.SE8/c3560e-universalk9-mz.122-55.SE8
Móvil,172.30.36.102,SW_NGV_ING_PPAL,Not Info Yet,WS-C4948E,EoS,IOS,cat4500e-entservicesk9-mz.150-2.SG10
Móvil,172.30.36.103,SW_NGV_INGRESS_BKP,Not Info Yet,WS-C4948E,EoS,IOS,cat4500e-entservicesk9-mz.150-2.SG10
Móvil,172.30.36.109,SW_NGV_KMS,Not Info Yet,WS-C4948,Obsoleto,IOS,cat4500-entservicesk9-mz.150-2.SG10
Móvil,192.168.255.41,SW_PAR_TEC_A,Not Info Yet,WS-C3750X-48,No Yet Cataloged,IOS,c3750e-universalk9npe-mz.150-1.SE3/c3750e-universalk9npe-mz.150-1.SE3
Móvil,192.168.174.153,SW_PAS_TEC_A,Not Info Yet,WS-C2960-24TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-50.SE3
Móvil,192.168.174.154,SW_PAS_TEC_B,Not Info Yet,WS-C2960-24TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-50.SE3
Móvil,192.168.255.115,SW_PRA_TEC_IN_A,Not Info Yet,WS-C3750G-24TS,No Yet Cataloged,IOS,c3750-ipservicesk9-mz.122-25.SEE
Móvil,192.168.237.186,SW_SAN_ANDRES_1,Not Info Yet,WS-C2950G-24-EI-DC,No Yet Cataloged,IOS,c2950-i6k2l2q4-mz.121-22.EA14
Móvil,192.168.237.187,SW_SAN_ANDRES_2,Not Info Yet,WS-C2950G-24-EI-DC,No Yet Cataloged,IOS,c2950-i6k2l2q4-mz.121-22.EA14
Móvil,192.168.174.107,SW_TEC_ALK_1,Not Info Yet,WS-C2960+24TC-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.150-2.SE8/c2960-lanbasek9-mz.150-2.SE8
Móvil,192.168.255.127,SW_TOB_TEC_A,Not Info Yet,WS-C3750-24TS,No Yet Cataloged,IOS,c3750-ipservicesk9-mz.122-25.SEE
Móvil,192.168.255.128,SW_TOB_TEC_B,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-ipservicesk9-mz.150-2.SE2
Móvil,192.168.251.123,SW_TOB_TEC_C,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-advipservicesk9-mz.122-46.SE
Móvil,192.168.104.73,SW_TRI_TEC_B,Not Info Yet,WS-C3750X-48,No Yet Cataloged,IOS,c3750e-universalk9-mz.122-55.SE5/c3750e-universalk9-mz.122-55.SE5
Móvil,192.168.174.75,SW_VEN_TEC_A,Not Info Yet,WS-C2960-48TC-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-50.SE3
Móvil,192.168.174.74,SW_VEN_TEC_B,Not Info Yet,WS-C3750G-48TS,No Yet Cataloged,IOS,c3750-ipbasek9-mz.150-2.SE4
Móvil,192.168.177.42,SW_VEN_TEC_P2_A,Not Info Yet,WS-C2960-48TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.150-2.SE4
Móvil,192.168.177.43,SW_VEN_TEC_P2_B,Not Info Yet,WS-C2960-48TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.150-2.SE4
Móvil,192.168.177.251,SW_VEN_TEC_P2_C,Not Info Yet,WS-C2960-48TC-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-44.SE6/c2960-lanbasek9-mz.122-44.SE6
Móvil,192.168.177.250,SW_VEN_TEC_P2_D,Not Info Yet,WS-C3750X-48,No Yet Cataloged,IOS,c3750e-universalk9-mz.122-55.SE5/c3750e-universalk9-mz.122-55.SE5
Móvil,192.168.211.186,SW_ZF_P1_TEC_A,Not Info Yet,WS-C2960-24TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-50.SE3
Móvil,192.168.211.187,SW_ZF_P1_TEC_B,Not Info Yet,WS-C2960-24TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-50.SE3
Móvil,192.168.173.109,SW01FLO_TEC,Not Info Yet,WS-C2950G-24-EI-DC,No Yet Cataloged,IOS,c2950-i6k2l2q4-mz.121-22.EA14
Móvil,192.168.129.26,SW01NEI_TEC,Not Info Yet,WS-C2950-12,No Yet Cataloged,IOS,c2950-i6k2l2q4-mz.121-22.EA14
Móvil,192.168.50.40,SW01NEMU_HLRWS_ARA,Not Info Yet,WS-C2960-24TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-37.SE1
Móvil,192.168.245.145,SW01NEMU_HLRWS_BUC,Not Info Yet,WS-C2960-48TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-37.SE1
Móvil,192.168.90.47,SW01NEMU_HLRWS_FON,Not Info Yet,WS-C2960-24TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-37.SE1
Móvil,192.168.31.178,SW01NEMU_HLRWS_PRA,Not Info Yet,WS-C2960-24TT-L,No Yet Cataloged,IOS,c2960-lanbasek9-mz.122-37.SE1
Móvil,192.168.25.59,SW01PRA_TEC,Not Info Yet,WS-C3550-24,No Yet Cataloged,IOS,c3550-ipservicesk9-mz.122-40.SE
Móvil,192.168.104.86,SW01TEC_DIST_ACO,Not Info Yet,WS-C3750X-48,No Yet Cataloged,IOS,c3750e-universalk9-mz.122-55.SE5
Móvil,192.168.174.205,SW02CUC_TEC,Not Info Yet,WS-C2950G-24-EI-DC,No Yet Cataloged,IOS,c2950-i6k2l2q4-mz.121-22.EA14
